${0},,
"Cancel ${0}?","إلغاء ${0}؟",
"Cancel or Delete an entry.","إلغاء أو حذف إدخال.",
Cancelled,ملغاة,
"Cannot Commit Error","لا يمكن ارتكاب الخطأ",
"Cannot Delete","لا يمكن الحذف",
"Cannot Delete Account","لا يمكن حذف الحساب",
"Cannot Export","لا يمكن التصدير",
"Cannot Import","لا يمكن الاستيراد",
"Cannot Open File","لا يمكن فتح الملف",
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","لا يمكن إلغاء ${0} ${1} بسبب ${2} التالي: ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}","لا يمكن إلغاء ${0} بسبب ${1} التالي: ${2}",
"Cannot delete ${0} ""${1}"" because of linked entries.","لا يمكن حذف ${0} ""${1}"" بسبب الإدخالات المرتبطة.",
"Cannot open file","لا يمكن فتح الملف",
"Cannot perform operation.","Cannot perform operation.",
"Cannot read file","لا يمكن قراءة الملف",
"Capital Equipments","معدات رأس المال",
"Capital Stock","رأس المال",
Cash,نقد,
"Cash Denominations","الفئات النقدية",
"Cash Entry","قيود النقدية",
"Cash In Hand","نقدا في اليد",
Cashflow,"التدفق النقدي",
"Central Tax","الضرائب المركزية",
"Change DB","تغيير قاعدة البيانات ",
"Change File","تغيير الملف",
"Change Ref Type","تغير نوع المرجع",
"Changes made to settings will be visible on reload.","ستكون التغييرات التي تم إجراؤها على الإعدادات مرئية عند إعادة التحميل.",
Chargeable,"قابلة للخصم",
"Chart Of Accounts Reviewed","مراجعة دليل الحسابات",
"Chart of Accounts","دليل الحسابات",
Check,تحقق,
Cheque,"شيك مصرفى",
"City / Town","المدينة / البلدة",
Clear,مسح,
"Clearance Date","تاريخ التخليص",
Close,إغلاق,
"Close Frappe Books and try manually.",".أغلق برنامج المحاسبة وحاول يدويًا",
"Close POS Shift","إغلاق نقطة البيع",
"Close Quick Search","إغلاق البحث السريع",
Closing,اغلاق,
"Closing ${0} Amount can not be negative.","لا يمكن أن يكون مبلغ الإغلاق ${0} سلبيًا.",
"Closing (Cr)","(Cr) إغلاق",
"Closing (Dr)","(Dr) إغلاق",
"Closing Amount","المبلغ الختامي",
"Closing Cash In Denominations","إغلاق النقد بالفئات",
"Closing Date","تاريخ الإغلاق",
Collapse,طي,
Color,اللون,
"Commission on Sales","عمولة على المبيعات",
Common,عام,
Company,شركة,
"Company Logo","شعار الشركة",
"Company Name","اسم الشركة",
"Company Setup","إعداد الشركة",
Completed,مكتمل,
Condition,شرط,
"Consolidate Columns","دمج الاعمدة",
Contacts,"  بيانات الاتصال",
Contains,يحتوي,
"Continue submitting Sales Invoice?","هل تريد الاستمرار في تقديم فاتورة المبيعات؟",
"Contra Entry",,
"Conversion Error",,
"Conversion Factor","عامل التحويل",
"Cost Of Goods Sold Acc."," حساب تكلفة البضاعة المباعة ",
"Cost of Goods Sold","تكلفة البضائع المباعة",
"Could not connect to database file ${0}, please select the file manually","لم نتمكن من الاتصال بملف قاعدة البيانات ${0}، يرجى تحديد الملف يدويًا",
Count,عدد,
"Counter Cash Account","حساب النقد",
Country,البلد,
"Country Code","كود البلد",
"Country code used to initialize regional settings.","كود البلد يستخدم لتثبت اعدادات الاقليمية",
Courier,ساعي,
Cr.,,
"Cr. ${0}",,
Create,إنشاء,
"Create Demo","انشاء نموذج تجريبي",
"Create Purchase","انشاء مشتريات",
"Create Purchase Invoice","إنشاء فاتورة الشراء",
"Create Sale","انشاء مبيعات",
"Create Sales Invoice","إنشاء فاتورة المبيعات",
"Create a demo company to try out Frappe Books","إنشاء شركة تجريبية لتجربة برنامج accounting",
"Create a new company and store it on your computer","إنشاء شركة جديدة وتخزينها على جهاز الكمبيوتر الخاص بك",
"Create a new company or select an existing one from your computer","إنشاء شركة جديدة أو تحديد شركة موجودة من جهاز الكمبيوتر الخاص بك",
"Create a new entry of the same type as the List View","إنشاء إدخال جديد من نفس نوع عرض القائمة",
"Create new ${0} entry?","إنشاء إدخال جديد ${0}؟",
"Create your first purchase invoice from the created supplier","قم بإنشاء فاتورة الشراء الأولى الخاصة بك من المورد الذي قمت بإنشائه",
"Create your first sales invoice for the created customer","قم بإنشاء فاتورة المبيعات الأولى للعميل الذي قمت بإنشائه",
Created,"تم الانشاء",
"Created By","تم الانشاء بواسطة",
"Creating Items and Parties","انشاء الاصناف والعناصر",
"Creating Journal Entries","انشاء قيد يومية",
"Creating Purchase Invoices","انشاء فاتورة مشتريات",
Credit,دائن,
"Credit Card Entry","إدخال بطاقة الائتمان",
"Credit Note","اشعار دائن",
Creditors,الدائنون,
Currency,العملة,
"Currency Name","اسم العملة",
Current,الحالي,
"Current Assets","الأصول الحالية",
"Current Liabilities","الخصوم المتداولة",
"Custom Field","حقل مخصص",
"Custom Fields","الحقول المخصصة",
"Custom Form","نموذج مخصص",
"Custom Hex","سداسي مخصص",
Customer,الزبون,
"Customer Created","خلق العميل",
"Customer Currency","عملة العميل",
Customers,العملاء,
Customizations,"  التهيئة",
"Customize Form","تخصيص النموذج",
"Customize your invoices by adding a logo and address details","تخصيص الفاتورة باضافة الشعار وتفاصيل العنوان",
Dashboard,"لوحة القيادة",
Data,بيانات,
"Database Error","خطأ في قاعدة البيانات",
"Database file: ${0}","ملف قاعدة البيانات: ${0}",
Date,التاريخ,
"Date Format","تنسيق التاريخ",
"Date Time","التاريخ والوقت",
Day,اليوم,
Debit,مدين,
"Debit Note","أشعار مدين",
Debtors,المدينون,
December,ديسمبر,
"Decrease print template display scale","تقليل مقياس عرض قالب الطباعة",
Default,افتراضي,
"Default Account","الحساب الافتراضي",
"Default Cash Denominations","الفئات النقدية الافتراضية",
"Default Location"," الموقع الافتراضي",
Defaults,"الاعدادات الافتراضية ",
Delete,حذف,
"Delete ${0}?","حذف ${0}?",
"Delete Account","حذف الحساب",
"Delete Failed","فشل الحذف",
"Delete Group","حذف المجموعة",
Delivered,"تم التسليم",
Denomination,فئة,
Depreciation,إهلاك,
"Depreciation Entry","ادخال قيد الاهلاك",
Description,الوصف,
Details,التفاصيل,
"Difference Amount","مبلغ الفرق",
"Direct Expenses","المصاريف المباشرة",
"Direct Income","الدخل المباشر",
"Directory for database file ${0} does not exist, please select the file manually","الدليل الخاص بملف قاعدة البيانات ${0} غير موجود، يرجى تحديد الملف يدويًا",
Disabled,معطل,
"Discount Account"," حساب الخصم",
"Discount Account is not set.","حساب الخصم غير محدد.",
"Discount Amount","مبلغ الخصم",
"Discount Amount (${0}) cannot be greated than Amount (${1}).","لا يمكن أن يكون مبلغ الخصم (${0}) أكبر من المبلغ (${1}).",
"Discount Percent","نسبة الخصم",
"Discount Percent (${0}) cannot be greater than 100.","لا يمكن أن تكون نسبة الخصم (${0}) أكبر من 100.",
"Discounted Amount","المبلغ المخصوم",
Discounts," الخصومات",
"Display Doc",,
"Display Logo in Invoice","عرض الشعار في الفاتورة",
"Display Precision","دقة العرض",
"Display Precision should have a value between 0 and 9.","دقة العرض يجب أن تكون لها قيمة بين 0 و 9.",
"Display Scale","مقياس العرض",
"Dividends Paid","توزيعات أرباح مدفوعة",
"Doc ${0} ${1} not set","المستند ${0} ${1} غير محدد",
Docs,,
Documentation,التوثيق,
"Does Not Contain","لا يحتوي",
Done,تم,
Dr.,,
"Dr. ${0}",,
Draft,مسودة,
Duplicate,"نسخة مطابقة تكرار",
"Duplicate Entry","دخول مكرر",
"Duplicate Template","قالب مكرر",
"Duplicate columns found: ${0}","تم العثور على أعمدة مكررة: ${0}",
"Duties and Taxes","الرسوم والضرائب",
"Dynamic Link","الرابط الديناميكي",
"Earnest Money","كسب المال",
"Electronic Equipments","معدات إلكترونية",
Email,"البريد الإلكتروني",
"Email Address","عنوان البريد الإلكتروني",
Empty,فارغ,
"Empty file selected","ملف فارغ محدد",
"Enable Barcodes","  تفعيل الباركود",
"Enable Batches","  تفعيل الباتش نمبر",
"Enable Discount Accounting"," تفعيل حساب الخصم",
"Enable Form Customization","تمكين تخصيص النموذج",
"Enable Inventory"," تفعيل المخزون",
"Enable Invoice Returns","تمكين فواتير المرتجعة",
"Enable Point of Sale","تمكين نقطة البيع",
"Enable Price List"," تفعيل قائمة الاسعار",
"Enable Serial Number","  تفعيل السريال نمبر",
"Enable Stock Returns","تمكين مرتجعات المخزون",
"Enable UOM Conversion"," تفعيل إمكانية تحويل وحدات القياس",
Enabled,"مفعل  ",
"Enabled For","مفعل  ل ",
"Enter Country to load States","اختار الدولة حتى يتم تحميل  المدن",
"Enter State","ادخل  المدينة",
"Enter barcode","أدخل الباركود",
"Entertainment Expenses","مصاريف ترفيه",
Entry,ادخال,
"Entry Currency","ادخال عملة",
"Entry Label","علامة الإدخال",
"Entry No","رقم الإدخال",
"Entry No.","رقم الدخول",
"Entry Type","نوع الإدخال",
"Entry has Grand Total ${0}. Please verify amounts.","يبلغ المجموع الإجمالي للمدخل ${0}. يرجى التحقق من المبالغ.",
Equity,"حقوق الملكية",
Error,خطأ,
"Exchange Gain/Loss","مكاسب / خسارة الصرف",
"Exchange Rate","سعر الصرف",
"Excise Entry","إدخال الضرائب",
"Existing Company","شركة موجود",
Expand,توسيع,
"Expected Amount","المبلغ المتوقع",
Expense,المصاريف,
"Expense Account","حساب المصروف",
Expenses,المصروفات,
"Expenses Included In Valuation","المصروفات المدرجة في التقييم",
"Expiry Date","تاريخ انتهاء الصلاحية",
Export,تصدير,
"Export Failed","فشل التصدير",
"Export Format","تنسيق التصدير",
"Export Successful","تم التصدير بنجاح",
"Export Wizard","معالج التصدير",
Failed,فشل,
Fax,فاكس,
Features," الخصائص",
February,فبراير,
Field,الحقل,
Fieldname,"اسم المجال",
"Fieldname ${0} already exists for ${1}","اسم الحقل ${0} موجود بالفعل لـ ${1}",
"Fieldname ${0} already used for Custom Field ${1}","تم استخدام اسم الحقل ${0} بالفعل للحقل المخصص ${1}",
Fieldtype,"نوع الحقل",
"File ${0} does not exist.","الملف ${0} غير موجود.",
"File selection failed","فشل اختيار الملف",
Fill,تعبئة,
Filter," التصفية",
"Fiscal Year","السنة المالية",
"Fiscal Year End Date","تاريخ نهاية السنة المالية",
"Fiscal Year Start Date","تاريخ بدء السنة المالية",
"Fix Failed","فشل الإصلاح",
"Fixed Asset","الاصول الثابنة",
"Fixed Assets","الأصول الثابتة",
Float,يطفو,
"Following cells have errors: ${0}.","تحتوي الخلايا التالية على أخطاء: ${0}.",
"Following links do not exist: ${absentLinks .map((l) =>","الروابط التالية غير موجودة: ${absentLinks .map((l) =>",
Font,الخط,
"For Purchase","للشراء",
"For Sales","للمبيعات",
"Forbidden Error","خطأ ممنوع",
"Form Section","قسم النموذج",
"Form Tab","علامة التبويب النموذج",
"Form Type","نوع النموذج",
Fr,,
Fraction,كسر,
"Fraction Units","وحدات الكسر",
"Frappe Books does not have access to the selected file: ${0}","لا يتوفر لنظام المحاسبة إمكانية الوصول إلى الملف المحدد: ${0}",
"Freight and Forwarding Charges","مصاريف الشحن",
From,من,
"From Account","من الحساب",
"From Date","من تاريخ",
"From Loc.","من الموقع",
"From Year","من سنة",
"Full Name","الاسم الكامل",
"Furnitures and Fixtures","الأثاث والتجهيزات",
GST,"ضريبة المبيعات",
"GSTIN No.","رقم GSTIN.",
GSTR1,,
GSTR2,,
"Gain/Loss on Asset Disposal","الربح / الخسارة من التصرف في الأصول",
General,عام,
"General Ledger","تقرير الاستاذ العام",
"Get Started",ابدأ,
Global,عالمي,
"Go back to the previous page","العودة إلى الصفحة السابقة",
Gram,جرام,
"Grand Total","المجموع الكلي",
"Greater Than","أكبر من",
Green,اخضر,
"Group By","  تجميع حسب",
HSN/SAC,,
"HSN/SAC Code",,
"Half Yearly","نصف سنوى",
"Half Years","نصف سنة",
"Has Batch","يحتوي على دفعة",
"Has Serial Number","يحتوي على رقم تسلسلي",
"Height (in cm)","الارتفاع (بالسم)",
Help, ,
"Hex Value","القيمة السداسية",
"Hidden values will be visible on Print on.","ستكون القيم المخفية مرئية عند الطباعة.",
"Hide Get Started","إخفاء قائمة البدء",
"Hide Group Amounts","إخفاء مجاميع المبالغ",
"Hide Month/Year","إخفاء الشهر/السنة",
"Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.","يخفي قسم البدء من الشريط الجانبي. سيكون التغيير مرئيًا عند إعادة التشغيل أو تحديث التطبيق",
Hour,ساعة,
INR,,
Image,صورة,
"Import Complete","تم الاستيراد",
"Import Data","استيراد البيانات",
"Import Data.","استيراد البيانات.",
"Import Type","نوع الاستيراد",
"Import Wizard"," استيراد البيانات",
"Importer not set, reload tool","لم يتم تعيين المستورد، أداة إعادة التحميل",
Inactive,غير نشط,
"Include Cancelled","  يتضمن الملغي",
Income,الدخل,
"Income Account","حساب الدخل",
"Increase print template display scale","زيادة مقياس عرض قالب الطباعة",
Indigo,,
"Indirect Expenses","مصاريف غير مباشرة",
"Indirect Income","الدخل غير المباشر",
Inflow,التدفق,
"Instance Id","معرف المثيل",
"Insufficient Quantity","كمية غير كافية",
"Insufficient Quantity.","الكمية غير كافية.",
"Insufficient Quantity. Item ${0} has only ${1} quantities available. you selected ${2}","الكمية غير كافية. العنصر ${0} لديه فقط ${1} كمية متاحة. لقد قمت بتحديد ${2}",
Int,,
"Intergrated Tax","ضريبة متكاملة",
"Internal Precision","الدقة الداخلية",
"Invalid Key Error","خطأ مفتاح غير صالح",
"Invalid Quantity for Item ${0}","كمية غير صالحة للعنصر ${0}",
"Invalid barcode value ${0}.","قيمة الرمز الشريطي غير صالحة ${0}.",
"Invalid value ${0} for ${1}","قيمة غير صالحة ${0} لـ ${1}",
"Invalid value found for ${0}","تم العثور على قيمة غير صالحة لـ ${0}",
Inventory,المخازن,
"Inventory Settings","إعدادات المخزون",
Investments,استثمارات,
Invoice,فاتورة,
"Invoice Created","الفاتورة المُنشأة",
"Invoice Date","تاريخ الفاتورة",
"Invoice Item","بند الفاتورة",
"Invoice No","رقم الفاتورة",
"Invoice No.","رقم الفاتورة",
"Invoice Value","قيمة الفاتورة",
Invoices,الفواتير,
Is,هل,
"Is Custom","هل هو مخصص",
"Is Empty",فارغ,
"Is Group","هل المجموعة / ريئسي",
"Is Landscape","هل هو منظر فعلي",
"Is Not",ليس,
"Is Not Empty","ليس فارغ",
"Is POS Shift Open","هل نقطة البيع مفتوحة",
"Is Price List Enabled","هل قائمة الأسعار ممكّنة",
"Is Required","مطلوب",
"is Required","مطلوب",
"Is Whole","هل جملة",
Item,صنف,
"Item ${0} has Zero Quantity","العنصر ${0} ليس له أي كمية",
"Item ${0} is a batched item","العنصر ${0} هو عنصر مجمع",
"Item ${0} is not a batched item","العنصر ${0} ليس عنصرًا مجمعًا",
"Item ${0} not in Stock","العنصر ${0} غير متوفر في المخزون",
"Item Description","وصف العنصر",
"Item Discounts","خصومات على العناصر",
"Item Name","اسم العنصر",
"Item Prices","أسعار العناصر",
"Item with From location not found","لم يتم العثور على العنصر الذي يحمل الموقع ",
"Item with To location not found","لم يتم العثور على العنصر الذي يحمل الموقع",
"Item with barcode ${0} not found.","لم يتم العثور على العنصر الذي يحمل الرمز الشريطي ${0}.",
Items,"عناصر المخزون",
January,يناير,
"John Doe","احمد جون",
"Journal Entries","مدخلات اليومية",
"Journal Entry","إدخال دفتر اليومية",
"Journal Entry Account","حساب القيد اليومي",
"Journal Entry Number Series"," تسلسل القيود اليومية",
"Journal Entry Print Template","  قالب الطابعة القيود اليومية",
July,يوليو,
June,يونيو,
"Key Hints","تلميحات رئيسية",
Kg,,
Label,ملصق,
Language,اللغة,
"Left Index","المؤشر الأيسر",
"Legal Expenses","المصاريف القانونية",
"Less Filters","فلاتر أقل",
"Less Than","أقل من",
Liability,المسؤولية,
Limit,حد,
Link,وصلة,
"Link Validation Error","خطأ في التحقق من الرابط",
"Linked Entries","المدخلات المرتبطة",
List,قائمة,
"List View","عرض القائمة",
"Load an existing company from your computer","قم بتحميل شركة موجودة من جهاز الكمبيوتر الخاص بك",
"Loading Report...","جاري تحميل التقرير...",
"Loading instance...","جاري تحميل المثيل...",
Loading...,"تحميل...",
"Loans (Liabilities)","قروض (خصوم)",
"Loans and Advances (Assets)","القروض والسلف (الأصول)",
Locale,اللغة,
Location,موقع,
"Location Name","اسم الموقع",
Logo,الشعار,
"Make Entry"," ادخال جديد  ",
"Make Payment On Submit","ف/نقدا - قم بالدفع عند الترحيل",
"Make Purchase Receipt On Submit","فاتورة نقدا - قم إيصال الشراء عند الحفظ",
"Make Shipment On Submit","صرف مخزني - قم الشحنة عند ترحيل",
"Mandatory Error","خطأ إلزامي",
Manufacture,تصنيع,
"Manufacture Date","تاريخ التصنيع",
"Mar 23, 2022",,
March,مارس,
"Mark ${0} as submitted?","هل تريد وضع علامة على ${0} كمُرحل؟",
"Marketing Expenses","مصاريف التسويق",
"Material Issue","اصدارالمواد",
"Material Receipt","استلام المواد",
"Material Transfer","نقل المواد",
May,مايو,
Meter,,
Misc,متنوع,
Miscellaneous,متنوعة,
"Miscellaneous Expenses","مصاريف متنوعة",
Mo,,
Modified,تم التعديل,
"Modified By","تم التعديل بواسطة",
Monthly,شهرية,
Months,أشهر,
"Number of Months","عدد الأشهر",
More,أكثر,
"More Filters","المزيد من عوامل التصفية",
"More shortcuts will be added soon.",,
"Movement Type"," نوع التنقل ",
Name,الاسم,
Navigate,انتقل,
"Need ${0} Serial Numbers for Item ${1}. You have provided ${2}","نحتاج إلى ${0} أرقام تسلسلية للعنصر ${1}. لقد قدمت ${2}",
"Net Total","الإجمالي الصافي",
"New ${0}","جديد ${0}",
"New ${0} ${1}","جديد ${0} ${1}",
"New Account","حساب جديد",
"New Company","شركة جديدة",
"New Entry"," ادخال جديد ",
"New Template","قالب جديد",
No,لا,
"No Display Entries Found","لم يتم العثور على إدخالات العرض",
"No Print Templates not found for entry type ${0}","لم يتم العثور على قوالب الطباعة لنوع الإدخال ${0}",
"No Value","لا قيمة",
"No Values to be Displayed","لا توجد قيم ليتم عرضها",
"No entries found","لم يتم العثور على أي إدخالات",
"No entries were imported.","لم يتم استيراد أي إدخالات.",
"No expenses in this period","لا توجد نفقات في هذه الفترة",
"No filters selected","لم يتم تحديد عوامل تصفية",
"No linked entries found","لم يتم العثور على إدخالات مرتبطة",
"No results found","لم يتم العثور على نتائج",
"No rows added. Select a file or add rows.","لم تتم إضافة أي صفوف. حدد ملفًا أو أضف صفوفًا.",
"No transactions yet","لا توجد معاملات حتى الآن",
"Non Active Serial Number ${0} cannot be used as Manufacture raw material","لا يمكن استخدام الرقم التسلسلي غير النشط ${0} كمواد خام للتصنيع",
"Non Active Serial Number ${0} cannot be used for Material Issue","لا يمكن استخدام الرقم التسلسلي غير النشط ${0} لإصدار المواد",
"Non Active Serial Number ${0} cannot be used for Material Transfer","لا يمكن استخدام الرقم التسلسلي غير النشط ${0} لنقل المواد",
"Non Inactive Serial Number ${0} cannot be used for Material Receipt","لا يمكن استخدام الرقم التسلسلي غير النشط ${0} لاستلام المواد",
None,"لا شيء",
"Not Found","لم يتم العثور عليه",
"Not Saved","لم يتم الحفظ",
"Not Submitted","غير مرحلة",
"Not Transferred","لم يتم نقله",
Notes,ملاحظات,
November,نوفمبر,
"Number Display","لغة وعملة النظام",
"Number Series","سلسلة الأرقام",
"Number of ${0}","عدد ${0}",
"Number of Rows","عدد الصفوف",
October,أكتوبر,
"Office Equipments","معدات مكتبية",
"Office Maintenance Expenses","مصاريف صيانة المكاتب",
"Office Rent","إيجار مكتب",
Okay,,
"Onboarding Complete","اكتمال الإعداد",
"Only From or To can be set for Manufacture","يمكن تعيين "من" أو "إلى" فقط للتصنيع",
"Open Count","العدد المفتوح",
"Open Documentation"," ",
"Open Folder","فتح مجلد",
"Open Print View","فتح عرض الطباعة",
"Open Print View if Print is available.","افتح "عرض الطباعة" إذا كانت الطباعة متاحة.",
"Open Quick Search","فتح البحث السريع",
"Open Report Print View","فتح عرض طباعة التقرير",
"Open the Export Wizard modal","افتح نموذج معالج التصدير",
"Opening (Cr)","(Cr) الافتتاح",
"Opening (Dr)","(Dr) افتتاح",
"Opening Amount","المبلغ الافتتاحي",
"Opening Balance Equity","الرصيد الافتتاحي حقوق الملكية",
"Opening Balances","أرصدة الافتتاح",
"Opening Cash Amount can not be negative.","لا يمكن أن يكون مبلغ النقد الافتتاحي سلبيًا.",
"Opening Cash In Denominations","افتتاح النقد بالفئات",
"Opening Date","تاريخ الافتتاح",
"Opening Entry","ادخال الافتتاحية",
Options,خيارات,
Orange,,
Organisation,التنظيم,
Outflow,التدفق,
Outstanding,مستحق,
"Outstanding Amount","المبلغ المستحق",
POS,نقطة البيع,
"POS Counter Cash Account is not set. Please set it on POS Settings","لم يتم تعيين حساب النقد في نقطة البيع. يرجى تعيينه في إعدادات نقطة البيع",
"POS Customer","نقاط البيع للعملاء",
"POS Inventory is not set. Please set it on POS Settings","لم يتم ضبط مخزون نقاط البيع. يرجى ضبطه في إعدادات نقاط البيع",
"POS Settings","إعدادات نقاط البيع",
"POS Shift Amount","مبلغ تحويل نقاط البيع",
"POS Write Off Account is not set. Please set it on POS Settings","لم يتم تعيين حساب شطب نقاط البيع. يرجى تعيينه في إعدادات نقاط البيع",
"Pad Zeros","لوحة الأصفار",
Page,صفحة,
Paid,مدفوع,
"Paid ${0}","تم الدفع {0}$",
"Paid Change","التغيير المدفوع",
